FNODE_ID,F_CROSS,MAX_ADDR,MIN_ADDR,OBJECTID,PRE_DIR,STREET_NAM,STREET_TYP,TNODE_ID,TRANS_ID,T_CROSS,category,cost,description,program,ward,year
6331,4627 S PRINCETON AVE ,334,300,31328,W,46TH,PL,930,125374,4627 S SHIELDS AVE ,Streets & Transportation,300.0,W 46TH PL & S SHIELDS AVE,Pavement Markings,3,2012
930,4627 S SHIELDS AVE ,357,336,51250,W,46TH,PL,14786,147608,4631 S STEWART AVE ,Streets & Transportation,300.0,W 46TH PL & S SHIELDS AVE,Pavement Markings,3,2012
35575,339 E 46TH ST ,4659,4600,6054,S,CALUMET,AVE,14802,125275,339 E 47TH ST ,Streets & Transportation,11175.0,ON S CALUMET AVE FROM E 46TH ST (4600 S) TO E 47TH ST (4700 S),Sidewalk Menu,3,2012
27266,4641 S PRINCETON AVE ,331,300,33345,W,SWANN,ST,932,125375,4643 S SHIELDS AVE ,Streets & Transportation,643.0,ON W SWANN ST FROM S PRINCETON AV (300 W) TO S SHIELDS AV (328 W),Sidewalk Menu,3,2012
,,,,,,,,,,,Streets & Transportation,8979.0,ON DR MARTIN LUTHER KING JR DR FROM E 44 ST (4400 S) TO E 45 ST (4500 S),Sidewalk Menu,3,2012
932,337 W SWANN ST ,4661,4642,1125,S,SHIELDS,AVE,10452,125378,336 W 47TH ST ,Streets & Transportation,22651.0,ON S SHIELDS AVE FROM W SWANN ST (4642 S) TO W 47 ST (4700 S),Sidewalk Menu,3,2012
18933,3399 S   ,3459,3400,7465,S,PRAIRIE,AVE,27564,119497,233 E 35TH ST ,Streets & Transportation,106066.0,ON S PRAIRIE AVE FROM E 33 BV (3300 S) TO E 35 ST (3500 S),Street Resurfacing Menu,3,2012
27564,233 E 35TH ST ,3566,3500,17381,S,PRAIRIE,AVE,19298,119531,3601 S   ,Streets & Transportation,106066.0,ON S PRAIRIE AVE FROM E 33 BV (3300 S) TO E 35 ST (3500 S),Street Resurfacing Menu,3,2012
34800,339 E 43RD ST ,4358,4300,32358,S,CALUMET,AVE,14260,125234,339 E 44TH ST ,Streets & Transportation,3700.0,ON S CALUMET AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 S),Street Speed Hump Menu,3,2012
6187,99 W 13TH ST ,1359,1300,35973,S,FEDERAL,ST,28775,114389,99 W 14TH ST ,Streets & Transportation,5550.0,ON S FEDERAL ST FROM W 13 ST (1299 S) TO W 14 ST (1400 S),Street Speed Hump Menu,3,2012
